Review,Review_Score,Prediction_best_naive_bayes_model,Prediction_best_naive_bayes_model2,Final_Prediction,Difference
The place is beautiful and appears just as advertised in the pics.  The location was perfect and the decor was just beautiful!  We will definitely return!,"10,0",4,1,10.0,0.0
"We stayed 2 nights and 3 days during late November. 

Tyler & Erol was such great hosts! They are really open with communication. Checking in several times before check on and even after. They give instructions to the T, and that is extremely helpful for someone visiting someplace new. They are extremely flexible and accommodating. Their place is super convenient to downtown area. For our stay we left our car parked and walked everywhere. There's wifi, and Netflix available in the apartment. The heat in the apartment doesn't really ventilate through the entire place, so it was definitely cold and I would suggest bringing extra hoodies and sweats for sleeping in during the colder months. They were nice enough to provide a portable space heater in the bathroom and we ended up moving it between the bathroom ( showering & getting ready) and sleeping area (the rest of the day) a lot. This really helps warm up the sleeping area and made it more comfortable.

We had some issues with parking upon arrival (the building next door was doing construction and all the scaffolding was in the parking spot. They were super proactive and immediately took care of this issue that same day, renting us another spot at the same parking area. Thanks for that guys!

The block where the entrance of the building is, construction is going on and it blocks the entrance of the door. It's a little confusing, but everything is golden once you get into the apartment! I'll definitely come back if I'm in the area & will def recommend their place to everyone. For location, parking, and everything else, it's a great value!","9,0",2,0,10.0,-1.0
"Je vous le recommande absolument! 
Superbe appart, propre, près de tout et du stade olympique en plus !!!","10,0",2,0,10.0,0.0
"Esther, thanks one more time for all your help, outstanding hospitality and never-ending concern for making my time in Montreal just perfect. I hope I'll come back again soon!. Regards","10,0",4,1,10.0,0.0
A very nice place to stay,"9,0",0,1,7.0,2.0
"This was our first time in Montréal and the apartment location, space, and value could not have been more perfect. The space itself is cozy, clean, minimal but with with character, with a parking space nearby and a little back porch. It's in the middle of the action, near restaurants and centrally located to all the things we wanted to do in Montréal. Kitchen was well appointed. Tyler was very helpful and responsive. We will be back for sure!","9,0",2,0,10.0,-1.0
"Very nice place. It was very clean and was easy to settle in to. We had no complaints this weekend, the metro wasn't a far walk and there are a couple food options within walking distance.","10,0",3,0,10.0,0.0
"L'appartement est très bien situé dans le quartier du plateau. Le métro est tout prêt et le quartier plein de restaurants et bars.
L'accès à l'appartement est simple. Tout le nécessaire est présent, tous était propre et confortable.

Nous n'avons pas eu la chance de rencontrer Zaki mais il est resté disponible et réactif à nos messages. 

Je recommande sans hésiter !","9,0",3,0,10.0,-1.0
"The host was argumentative when I told her there were no drinking glasses in the kitchen. She expected me to use one of the tiny little expresso cups. There were a sink full of dirty dishes from the time I got there until the time I left. We found a dead mouse on the kitchen counter one day. The bathroom sink was disgusting when I got there but cleaned, but not well, a couple days later. The outside door was not just unlocked but open when I got there because it was broken. It was fixed a couple days later. There were new windows being put in the week I was there. She failed to tell me that until after I was there. The workmen were there too early in the morning for me and made a lot of noise which effected my sleep. You needed to take a long bus ride to get to the grocery store. Luckily, there was a well stocked variety store just minutes away.","9,0",0,0,7.0,2.0
I have been here 4 times so you guys can figure out why i booked 4 times because it is just amazing!!!,"10,0",4,0,10.0,0.0
