"Review","Review_Score"
"my stay in the comfy private double room was indeed comfy!   it´s not just conveniently in the middle of a great neighborhood, walkig distance from the mont royal and a bunch of nice cafes and bars but the hosts were very easy going, helpful and fun. i´d totally do it again! 
","10"
"An amazing and enormous room and a total bargain at the price. Nice backyard. Great neighbourhood. Friendly and accommodating host. I hereby have nothing bad to say!","10"
"I had a FABULOUS stay! The room was enormous and just as pictured. You really cannot beat the neighborhood - walking distance to a ton of great local bars/restaurants/parks and easy access to the bus and the subway. The hosts were so gracious and helpful. I'd stay here again in a heartbeat.","10"
"We had a wonderful stay! The host was very friendly and helpful, the room was exactly like the picture, and the location was perfect. ","10"
"Lilou was a lovely host - communication was super smooth and she made me nice herbal tea before bed. The room is spacious, and you really couldn't ask for a better location in Montreal!","10"
"The reservation was canceled 11 days before arrival. This is an automated posting.","10"
"L'accueil proposé par Laura et Lulu est chaleureux et très agréable. Le quartier est un des meilleurs de Montréal et l'appartement est idéalement située. La chambre est très grande et calme. 
Laura est une hôte remarquable, et très arrangeante ! Merci encore pour ce premier séjour a Montréal ! ","10"
"J'ai passé 5 jours chez Laura, l'appartement est grand et ressemble bien a ce que l'on peut voir sur les photos. La chambre est elle aussi très grande, et le lit très confortable. 
Pour ce qui est de Laura et de Anne, elles sont toutes les deux très sympas et mettent à l'aise tout de suite. En bref on se sent comme chez soit. 
Au final, un super début de séjour à Montréal, encore merci à Laura et Anne. ","10"
"If I had to describe my stay at Laura's in one word it would be 'AMAZING'! Luckily, I have more space. 

The room is just as the pictures display: huge, clean, and comfy! There's a 2persons bed, a build-in closet, another closet with drawers, a book case, a big desk, and a comfy sofa to relax on. Although the room offers more space than you probably need, you can also just hang out in the cozy living room. But the best place has to be the back yard, which Laura turned in a little green oasis. It's the ideal spot to relax after a long day, enjoy the sun, or have a home dinner. And no need to feel lonely as Lulu - a.k.a. the most adorable cat ever - and his buddies from the block are always around somewhere (especially if you give them some of your ham sandwich or sushi). 

I've stayed at Laura's for several months and I've never felt so at home in another person's house. Laura went above and beyond to make my stay as pleasant as possible. I was new to Montreal (actually I was new to Canada) and didn't know any people other than a few colleagues. Laura embraced me as a friend and made sure I never had to feel alone or get bored, while also giving me all the privacy I wanted. 

The neighbourhood has everything you need. The house is near  shops, supermarkets, cafe's, restaurants, parks (including the Mont Royal), several busstops, 2 metro stations (Laurier & Mont Royal; both 10 min walking distance), and there's and there's always some fun - often free - festival around the corner in the summer. Despite all this the street is actually really quiet and is very safe!

","10"
"Laura was a brilliant host. The key pick up was well-organized and I felt immediately welcomed into the home. Essentials/amenities were provided for which made it much easier.

She also gave us great advice on where to go and eat. Overall Laura was just an awesome host.
","10"
"I stayed here for a week during one of the many festivals in Montreal. Communication before arrival was great and when I checked in there was a lovely hand written welcome letter with instructions as the host was at work.

The room was as pictured in the listing, clean and bright and the double bed was super comfy ( i slept really well). Location was also great right next to St.Laurent with cafes and restaurants near by and a large supermarket. 

Laura and her housemates made me feel super welcome in their home and would stay here again.","10"
"Super cute apartment, with a great room! Laura was super welcoming and made my stay very enjoyable. I would definitely recommend this place! I had a great time!","10"
"Our stay with Laura was wonderful! The room was clean and homey and the location was very central and interesting. Lilou was great at communicating with us about arrival and departure and very friendly - providing us with some tips about what to do in the city. She really went above and beyond to accommodate us... I'd definitely recommend staying here!","10"
"Laura was awesome to stay with! Her place is in the BEST location, in the artistic area of Montrèal, very close to a bus station, grocery store, coffee shops, music bars and very good restaurants. The bedroom was so beautiful, clean, cosy and comfortable! I went to Montrèal on my own and I couldn't choose a better flat/area in the city. As a woman you can walk wherver you want feeling so confident and safe!!! 

The whole apartment is so clean and beautiful! I got there just in time for good weather, and Laura was so nice to me, ready to answer to any question of myne, every time I needed, by phone and in person. We also had a lovely chat together in her fantastic courtyard and she invited me to her tasty birthday party introducing me all her friends. She has been great to me!
If you want to go to Montrèal, you absolutely have to go in her place!

","10"
"Die Lage ist super, die Gastgeberin sehr herzlich und nett. Absolute Empfehlung! :)","10"
"The room was spacious and clean. Lucy was very welcoming and great to have a chat with! Our stay was only 3 days so Lucy suggested some great places to eat and things to do. Close to some great places to eat and shops.","10"
"Laura est une hôte très chaleureuse, accueillante et communicative.
Le logement est dans un quartier très agréable, la chambre est spacieuse et conforme aux photos. 
Son chat Lulu est mignon tout plein et très calme. 
Nous recommandons fortement après les deux belles journées passées à Montréal.","10"
"Such a lovely space and host! Arrival was very easy, and the apartment and room I was staying in (the front room) were clean and well decorated. The backyard was an great place to chill out - very relaxing and private. 

The host, Laura, was very friendly and laid-back. The resident kitty was possibly even more friendly than Laura, and will monopolize your whole stay with her adorableness if you let her. 

The area is very close to bus routes, as well as some small coffee shops and restaurants, and of course the beautiful Mont Royale. The Mile-End neighborhood is eclectic and cute, with lots to see even if you're just wandering. 

I would absolutely stay here again and recommend it to friends headed to Montreal. ","10"
"Fantastic experience. Laura was incredibly friendly and accommodating. The room was comfortable and everything we needed for our week in Montreal. It was perfectly located to easily get anywhere we wanted to go into the city easily. Would highly recommend and would definitely stay again next time I come to Montreal.","10"
"I loved the neighbourhood - pretty houses and cool cafes and lots of young people on bikes. I really appreciate the simple but tasteful way that Laura has furnished her house. 
Laura is super warm and lovely, helpful, kind and also gives you space you need. 

The bed is very comfortable with lovely fluffy pillows. The room is really big and lovely.

I just can't fault this accommodation. It's a fabulous inexpensive option. ","10"
"Le logement correspond totalement au descriptif , avec une chambre spacieuse . L'emplacement est idéal avec restaurants , boutiques et épiceries à 5 minutes à pieds .Laura est très sympathique et souriante  ; mais malheureusement elle n'a pas pu être très présente lors de mon séjour . Juste vue en coup de vent 4 ou 5 fois . Le chat Lulu est un vieux pépère adorable . Pour mon premier airbnb cela à été très positif , avec en plus d'avoir eu une colocataire française adorable pendant mon séjour  .
André","10"
"My stay was great! Laura was so nice and everything was as described! Lovely location!","10"
"Lovely room, great area, fantastic host!","10"
"After living in Montreal for 3 years, I spent my last 4 months at Laura's place and I could have not  hoped for a better way to enjoy this ending experience in Quebec. Laura made me feel home since day one. Living with her made my days happier and funnier, she's caring, full of energy, curious and interesting. She's very open minded and used to meeting different people all the time. There's no way you could be bored having her around. 
If you're only visiting for a few days, she will definitely be a good adviser, she knows her city by heart. If you're staying longer like I did, the only risk is that you might have a heavy heart when it will be time to leave. 
","10"
"The place was amazing and was located in a nice neighbourhood full of cool vintage stores, restaurants and bars. Laura was super nice and friendly. She made me feel so welcome and my room was clean, also the bed was comfy. Everything was just so great! I would definitely stay at Laura's again for my next trip to Montréal! :)","10"
"Hôtesse charmante et serviable, grande chambre confortable et bien située.
Un vrai nid douillet!","10"
"I stayed at Laura's place for 3 weeks and wouldn't hesitate to recommend it to anyone visiting Montréal! Laura was a fantastic host, so lovely and helpful, making sure my arrival was easy even though she was at work. The room was as pictured and very spacious, with plenty of space for luggage and a super comfy bed. The entire apartment is clean and spacious, and it was great having access to a washer and dryer. The apartment is in a safe neighbourhood, located within a couple of minutes walking distance of the bustling Blvd St-Laurent. There are so many great restaurants, cafés and shops nearby (including a large supermarket a few minutes away) you are spoiled for choice. Mont-Royal metro station is only a 10 minute walk away to so you can be downtown in 25 minutes! ","10"
"Tout d'abord la chambre est conforme aux photos et l'appartement est très bien situé au cœur du Plateau. Il se situe entre le métro Mont-Royal et Laurier sans parler des nombreux bus à proximité qui vous emmèneront directement en centre-ville. 
Laura est vraiment une super hôte, vous pouvez réserver les yeux fermés!","10"
"Je me suis senti très bien accueilli par Lilou et ses adorables chat et chatons. Lilou a su avec beaucoup de respect et sociabilité, préserver mon intimité dont j'avais besoin à ce moment là. 
De plus, j'ai beaucoup apprécié son appartement qui est propre, très calme et très bien situé. La chambre étant grande et justement aménagée . Je recommande vivement cette place :-)","10"
"Great location, very comfortable room, very friendly hosts. ","10"
"Laura was absolutely the best. Check-in instructions were clear and the place was absolutely fantastic. The place was exactly the right spot for shopping and cool cafés to check out in the morning, as well as lunch and supper locales in the evenings. Literally one block from a bus that took me straight downtown if I didn't want to walk, which, when I wanted to, was straight down Boul. St. Laurent! The room was big and clean and quiet. I would have loved to stay longer!","10"
"My stay at Laura's place was amazing! The house is spacious, clean, and cosy, and nestled in the heart of the lively, funky, and beautiful Plateau-Mont-Royal. Laura has an amazing way of making her place feel relaxed and friendly, and her guests feel welcome! Merci Laura, this was one of my best Airbnb experiences yet :) ","10"
"La chambre , la hôte et l emplacement sont magnifiques !
Et les chats aussi !
Merci ","10"
"Top :) Emplacement et accueil supers !","10"
"A lovely spacious room with the convenience of cooking facilities and close to excellent restaurants and a Bixi bike stop.","10"
"My stay was wonderful, it was a great start and place to explore Montreal. I was made to feel right at home!","10"
"I loved staying at Laura's apartment! Her place is spacious and clean and she is super friendly and easy to coordinate with. I was arriving earlier than the check-in time and Laura made arrangements so that I could come in earlier and leave my bags in the room. The location of her place is ideal, surrounded by stores, cafes and restaurants and walking distance from other cool neighborhoods. There is close access to public transportation (metro and bus) and I was able to get to all the areas I wanted to visit very easily. The room is huge with a comfy bed, closet space, a big desk and a corner sofa. The rest of the apartment was clean and orderly and I felt really comfortable throughout my stay. I would definitely recommend staying at Laura's and I will certainly do so whenever I visit Montreal again!","10"
"airbnb au top! Laura est super cool, la chambre est grande, pratique il y a tout ce qu'il faut. L'emplacement est génial à une rue de Saint Laurent, 5min des transports en commun...  Allez-y sans hésiter","10"
"Lilou's place is situated in a very lively neighborhood and not far away from downtown (10min by bus and 30 min walking). She is a very hospitable host and I felt at home during my 2 weeks stay. Milton (the cat) is super friendly but not annoying. Try to visit few of her local restaurants' recommendations, there are some great tips. Overall, this is one of the best airbnb accommodations in Mtl.","10"
"1. 위치
- 디자이너샵(소품, 의류). 빈티지샵 들이 주변에 있어 구경하기 좋음
- 분위기 좋은 커피숍들이 있음
- 유명맛집들이 가까움 (베이글.샌드위치.라멘 등)
- 몽로얄과 장딸롱마켓이 가까움
- 대중교통으로 어디든지 쉽게 갈 수 있음
- 조용하고 깨끗한 동네

2. 숙소
- 방이 엄청 넓고 깨끗함
- 모던하고 예쁜 인테리어. 
- 3마리의 귀여운 고양이
- 작은 뒷마당 있음

3. 편의시설
- 수건 제공
- 세탁기 사용 가능
- 부엌. 냉장고 사용 가능

4. 결론
엄청 친근한 호스트 덕에 잘 쉬다 감. 
집이 무지 예뻐서 그냥 보기만 해도 기분 좋아짐. 
여름-가을에 가면 몽로얄도 가깝고, 뒷마당도 있어서 더 좋을 것 같음. 
다운타운에서 가깝진 않지만, 몬트리올은 작고 대중교통이 잘 되어 있어서 이동이 불편하지 않음. 오히려 동네가 조용하고 근처에 쉴 수 있는 카페가 많아서 좋았음. 
추천해요!!!!","10"
"It’s been a long time since I travelled alone as a single woman in a new city and laura was really wonderful and accommodating! It’s a great stay, great location and wonderful city.","10"
"A very quiet and relaxed place to stay. Laura is very helpful in all kind of issues. The location is perfect for all activities in downtown.","10"
"Un logement très bien, une bonne ambiance et le quartier est très sympa.","10"
"La chambre est spacieuse, confortable, propre.  Lilou est une hôte réactive, accueillante, elle n'hésite pas à échanger, donner des bons conseils. On se sent très vite à l'aise, l'appartement est bien situé proche des transports, commerces , restaurants. L'emplacement est idéal!","10"
"Un accueil chaleureux et généreux, il y a de la vie et de la bonne humeur, on s’y sent rapidement comme chez soi, merci Laura!","10"
"Mi sono fermata tre settimane a casa di Lilou e mi sono sentita subito a casa.La casa è molto accogliente oltre a essere bella e funzionale. Lilou ha senza dubbio stile. La casa è posizionta tra i miei due quartieri in assoluto preferiti della città: Plateu e Mile End e bastano pochissimi giorni per sentirsi subito integrati nel quartiere come un vero Montrealese!! Meno di 10 minuti a piedi e si raggiunge la stazione della metropolitana Laurier e in meno di 15 minuti quella di Mont-Royal. Inoltre l'autobus 55 passa a un minuto a piedi da casa e ti porta in Downtown - old port in 20 minuti e in little italy in 15. Il quartiere è pieno di cafè, gallerie d'arte, negozi vintage e bistro dove cenare o fare un brunch! E' davvero un luogo autentico.
Lilou è un host fantastica.. e la sua gatta Milton è molto dolce e simpatica.
La casa ha tutto ciò che (Website hidden by Airbnb) cucina è ben fornita e in taverna c'è la lavatrice e l'asciugatrice che si può utilizzare liberamente.","10"
"The location of Lilou's place in the heart of the Plateau couldn't be better: really good restaurants just a block away (try Robin Du Bois!), a superb massage and bodywork business just around the corner (Place Nomade), a few blocks to the supermarket in one direction, a few more blocks to the natural food store in another direction, great ethnic restaurants in every direction, even an excellent hardware store in walking distance, not to mention big public parks (especially Mont Royal), about a 15-minute walk to the Laurier metro stop, Portuguese, Greek and Hassidic communities nearby, trendy bars, vintage bagel shops...etc., etc. A very fun area to be in. To stay in this airbnb, you definitely need to be OK with cats, since the very friendly black cat who lives there considers herself the true owner. The bed was excellent, the kitchen very practical, the laundry machines in the basement easy to use, and Lilou herself is very friendly and welcoming and helpful.","10"
"I spent a perfect 7 nights at Laura’s. The location was awesome, as it was one street off of St. Laurent (a street with many neat shops and restos) and a 10 minute walk to the metro. It was also a short walk to the Mile End where the delicious bagels are. Although it was crazy hot outside, the apartment and bedroom were still very cool. The bedroom was large and the bed was super comfy. 10/10 would recommend and stay again!","10"
"This was a great neighborhood and a beautiful, big, quiet space. Can’t recommend it enough for anyone who wants to enjoy Le Plateau and have a refuge to rest and relax at night.","10"
"I absolutely loved staying here. Laura is super friendly and helpful, her apartment is somewhere you'd want to hang out in your real life, and the neighborhood is very walkable and has lots of interesting restaurants, parks, and shops. ","10"
"One of the most wonderful hosts I've had the chance to meet through Airbnb. I wasn't there for very many days, but the room was very spacious and I was very thankful for the laundry facilities! I even lost my purse with the house key and the host was super nice about it. The location is fantastic and I would highly recommend this place for anyone visiting Montreal!","10"
"Laura is a lovely host. We were both busy during my time in Montreal but when ever I did see her she was generous and caring. The house is beautiful and in a great location. The guide book suggestions were very helpful.","10"
"Laura est très accueillante , la maison est très agréable avec une grande chambre et une jolie petite cour . J y ai passé un très bon séjour  . ","10"
"What a gem. Although I’m not highly familiar with Montreal and its various neighborhoods, this wonderful home is close to everything I wanted/needed. Super hip neighborhood, a beautiful park not too far away and so many lovely shops/cafes, if that’s what you’re into. There was a grocery store across the street and lots of bus stops nearby. The metro was only a 7-10 minute walk away. It’s ground level, so it makes traveling with large luggage bags pretty easy. Milton, the cat, was friendly and gentle. Laura made excellent company as well. About as close to a perfect host you could get; never too overbearing and yet great to make conversation with. The room was bigger than I thought it was going to be! Even though Montreal is hot and humid it was never uncomfortable, the fan provided in the room did the trick for me. There were a couple instances where the door was locked from the inside, but it was never a huge problem. Laura was easy to get in contact with and surprisingly quick to reply, no matter what time of day it was. It didn’t make my stay any less incredible. The price is right and I cannot recommend this place enough! ","10"
"Merci Lilou!
I spent super nice days at Lilou's home. The room is big, bright and super comfortable. The house is big, has a super nice backyard and is very well located!
It was a happy stay :) I recommend <3 


Obrigada Lilou! Passei dias super lindos. O quarto é bem grande e comfortavel. O apartamento esta super bem localizado! Esta num primeiro andar e tem um quintal interno super gostoso! super recomendo. <3","10"
"I found the room very comfortable and affordable, with good access to a wide variety of eateries and shops. Check in and check out was flexible and easy. The host is responsive and helpful. Great space for cat lovers!  :)","10"
"This wonderful place is located in a very nice neighbourhood and is very close to a beautiful park, lovely restaurants and shops. The Metro is only a 10 Minute walk away and lots of bus stops are nearby. If you like, you can easily walk to the city center or visit sights like the Mont-Royal. Laura is a very great host: super friendly and caring. She made it really easy for me to settle in Montreal and very fast it felt a bit like home :) The room is very nice and bigger than I have expected! The decoration of her place is very lovely as well! I cannot recommend this place enough!","10"
"Great host and great place. I recommend!","10"
"Merci Laura pour cette agréable semaine :) Logement conforme aux photos, confortable et très bien situé. L'ambiance y est chaleureuse, on se sent tout de suite à l'aise. Je recommande !","10"
"One of the friendliest and most considerate hosts I've ever had. The room was huge, the cats were lovely and I had an all round great stay. Would highly recommend.","10"
"A comfortable room, fun and lively neighborhood, amicable cats, and a top notch host to boot!  Thank you Laura for the wonderful stay!","10"
"Un petit coin parfait pour un séjour à Montréal, situé en plein coeur du Plateau et près des meilleurs restos, boulangeries, et cafés. Laura est une hôte charmante et on se sent chaleureusement accueilli. J'y retournerais sans hésiter. 
Bises, Marie","10"
"Chambre fidèle aux photos et bon emplacement. Cristina est très disponible pour tout renseignement et très agréable.","8"
"Nous avons passer un excellent séjour chez Kim! Son appartement est genial, propre et très proche du centre ville. La rue est tout de même calme le soir pour bien se reposer! Merci encore Kim, tu es quelqu'un d'adorable!

N'hesitez pas à faire affaire avec Kim, vous serez pas déçu.:)","10"
"el apartamento era justo como ella lo describió y nos gusto mucho. 
el barrio fue seguro y conveniente para los restaurantes y el transporte. Kim fue muy amable y comunicativa. Kim tiene una colección de discos y escuche mucho a los strokes. Les recomiendo este apartamento si se van a quedar en montreal. ","10"
