Review,Review_Score
"My stay in the comfy private double room was indeed comfortable! It's not just conveniently located in the middle of a great neighborhood, within walking distance from Mount Royal and a bunch of nice cafes and bars, but the hosts were very easygoing, helpful, and fun. I would totally do it again!",10.0
An amazing and enormous room at a total bargain price. Nice backyard. Great neighborhood. Friendly and accommodating host. I have nothing bad to say about it!,10.0
I had a FABULOUS stay! The room was enormous and just as pictured. You really cannot beat the neighborhood - walking distance to a ton of great local bars/restaurants/parks and easy access to the bus and the subway. The hosts were so gracious and helpful. I'd stay here again in a heartbeat.,10.0
"We had a wonderful stay! The host was very friendly and helpful, the room was exactly as pictured, and the location was perfect.",10.0
"Lilou was a lovely host - communication was super smooth and she made me nice herbal tea before bed. The room was spacious, and you couldn't ask for a better location in Montreal!",10.0
The reservation was cancelled 11 days before arrival. This is an automated message.,10.0
"The welcome offered by Laura and Lulu is warm and very pleasant. The neighborhood is one of the best in Montreal and the apartment is ideally located. The room is very large and quiet. 
Laura is an outstanding host, and very accommodating! Thank you again for this first stay in Montreal!",10.0
"I spent 5 days at Laura's place, the apartment is large and looks just like what we can see in the photos. The bedroom is also very spacious, and the bed very comfortable. 
As for Laura and Anne, they are both very nice and make us feel right at home immediately. In short, we feel like we're at home. 
In the end, a great start to our stay in Montreal, thank you again to Laura and Anne.",10.0
"If I had to describe my stay at Laura's in one word it would be 'AMAZING'! Luckily, I have more space. 

The room is just as the pictures display: huge, clean, and comfy! There's a 2-person bed, a built-in closet, another closet with drawers, a bookcase, a big desk, and a comfy sofa to relax on. Although the room offers more space than you probably need, you can also just hang out in the cozy living room. But the best place has to be the backyard, which Laura turned into a little green oasis. It's the ideal spot to relax after a long day, enjoy the sun, or have a home dinner. And no need to feel lonely as Lulu - a.k.a. the most adorable cat ever - and his buddies from the block are always around somewhere (especially if you give them some of your ham sandwich or sushi). 

I've stayed at Laura's for several months and I've never felt so at home in another person's house. Laura went above and beyond to make my stay as pleasant as possible. I was new to Montreal (actually, I was new to Canada) and didn't know any people other than a few colleagues. Laura embraced me as a friend and made sure I never had to feel alone or get bored, while also giving me all the privacy I wanted. 

The neighborhood has everything you need. The house is near shops, supermarkets, cafes, restaurants, parks (including Mont Royal), several bus stops, two metro stations (Laurier & Mont Royal; both a 10-minute walk away), and there's always some fun - often free - festivals around the corner in the summer. Despite all this, the street is actually really quiet and very safe!",10.0
"Laura was a brilliant host. The key pick-up was well-organized and I felt immediately welcomed into the home. Essentials/amenities were provided, which made it much easier. 

She also gave us great advice on where to go and eat. Overall, Laura was just an awesome host.",10.0
"I stayed there for a week during one of the many festivals in Montreal. Communication before arrival was great, and when I checked in there was a lovely handwritten welcome letter with instructions as the host was at work.

The room was as pictured in the listing, clean and bright, and the double bed was super comfy (I slept really well). The location was also great, right next to St. Laurent with cafes and restaurants nearby, and a large supermarket. 

Laura and her housemates made me feel super welcome in their home and would stay there again.",10.0
Super cute apartment with a great room! Laura was super welcoming and made my stay very enjoyable. I would definitely recommend this place! I had a great time!,10.0
"Our stay with Laura was wonderful! The room was clean and homey, and the location was very central and interesting. Lilou was great at communicating with us about arrival and departure, and very friendly - providing us with some tips about what to do in the city. She really went above and beyond to accommodate us... I'd definitely recommend staying here!",10.0
"Laura was awesome to stay with! Her place is in the BEST location, in the artistic area of Montreal, very close to a bus station, grocery store, coffee shops, music bars and very good restaurants. The bedroom was so beautiful, clean, cozy and comfortable! I went to Montreal on my own and I couldn't choose a better flat/area in the city. As a woman you can walk wherever you want feeling so confident and safe!!! 

The whole apartment is so clean and beautiful! I got there just in time for good weather, and Laura was so nice to me, ready to answer any question of mine, every time I needed, by phone and in person. We also had a lovely chat together in her fantastic courtyard and she invited me to her tasty birthday party introducing me all her friends. She has been great to me!

If you want to go to Montreal, you absolutely have to stay at her place!",10.0
"The situation is great, the host very welcoming and nice. Absolute recommendation! :)",10.0
"The room was spacious and clean. Lucy was very welcoming and great to chat with! We only stayed for three days, so Lucy suggested some great places to eat and things to do.  Close to some great places to eat and shops.",10.0
"Laura is a very warm, welcoming and communicative host.
The accommodation is in a very pleasant neighborhood, the room is spacious and matches the photos. 
Her cat Lulu is adorable and very calm. 
We highly recommend it after two beautiful days spent in Montreal.",10.0
"Such a lovely space and host! Arrival was very easy, and the apartment and room I was staying in (the front room) were clean and well decorated. The backyard was a great place to chill out - very relaxing and private. 

The host, Laura, was very friendly and laid-back. The resident kitty was possibly even more friendly than Laura, and would monopolize your whole stay with her adorableness if you let her. 

The area is very close to bus routes, as well as some small coffee shops and restaurants, and of course the beautiful Mont Royale. The Mile-End neighborhood is eclectic and cute, with lots to see even if you're just wandering. 

I would absolutely stay here again and recommend it to friends headed to Montreal.",10.0
Fantastic experience. Laura was incredibly friendly and accommodating. The room was comfortable and everything we needed for our week in Montreal. It was perfectly located to easily get anywhere we wanted to go within the city. Would highly recommend and would definitely stay again next time I come to Montreal.,10.0
"I loved the neighborhood - pretty houses and cool cafes, and lots of young people on bikes. I really appreciate Laura's simple but tasteful way of furnishing her house. 

Laura is super warm and lovely, helpful, kind, and also gives you the space you need. 

The bed is very comfortable with lovely fluffy pillows. The room is really big and lovely.

I can't fault this accommodation at all. It's a fabulous inexpensive option.",10.0
"The accommodation perfectly matched the description, with a spacious bedroom. The location is ideal with restaurants, shops and grocery stores within 5 minutes walk. Laura is very friendly and cheerful; however, unfortunately she was not able to be very present during my stay. Just a few gusts of wind 4 or 5 times. Lulu the cat is an adorable old rascal. For my first Airbnb experience it has been very positive, in addition to having had an adorable French roommate during my stay.",10.0
My stay was great! Laura was so nice and everything was as described! Lovely location!,10.0
"Lovely room, great area, fantastic host!",10.0
